,Time,robot_force,event_distance,deltax,weiss_z_force,radpose
166,1626252794.55764,-3.53485107421875,66.2086181640625,0.5793454576432571,2.3280000000000003,0.011000000000000001
167,1626252795.56378,-3.25281834602356,66.2124710083008,0.579372024918438,2.228,0.012
168,1626252798.15954,-1.2545455694198602,66.50885009765629,0.578392024942139,2.035,0.001
169,1626252800.7514699,-0.136409416794777,70.84478759765629,0.577398023969639,1.565,0.002
170,1626252803.34542,0.33184218406677196,74.8916473388672,0.5764027596161411,0.9179999999999999,0.003
171,1626252805.94049,1.10299396514893,76.128059387207,0.575406245582524,0.515,0.004
172,1626252808.53652,1.9383533000946,79.5810623168945,0.574394662171174,-0.192,0.005
173,1626252811.13335,2.83610391616821,81.9350814819336,0.573381184452216,-0.8809999999999999,0.006
174,1626252813.7336302,3.89749002456665,84.3540267944336,0.572390953515146,-1.774,0.006999999999999999
175,1626252816.3332698,5.18483877182007,85.30686950683591,0.571401979396139,-3.24,0.008
176,1626252818.9253,6.65760898590088,86.4120559692383,0.5704073511715079,-4.431,0.009000000000000001
177,1626252821.52811,8.92053127288818,88.3329925537109,0.5694190052762629,-6.343999999999999,0.01
178,1626252824.1252599,11.509387969970698,90.02426147460942,0.568383536009131,-8.782,0.011000000000000001
179,1626252825.12826,11.091533660888699,89.7779083251953,0.5683689067351221,-8.761000000000001,0.012
180,1626252827.72747,6.348247528076169,87.86377716064449,0.5693595878499339,-6.062,0.001
181,1626252830.31819,3.46126484870911,87.3236236572266,0.570354215233745,-4.078,0.002
182,1626252832.9193,1.79400789737701,85.4697570800781,0.571345700790333,-2.4330000000000003,0.003
183,1626252835.51807,0.6073941588401789,83.931396484375,0.5723610651408321,-1.315,0.004
184,1626252838.1112099,-0.35167837142944297,82.4924850463867,0.573333071795833,-0.33899999999999997,0.005
185,1626252840.70999,-1.21589493751526,80.9418029785156,0.5743251442720789,0.43700000000000006,0.006
186,1626252843.309,-1.85951519012451,78.52342224121091,0.57533673592575,0.7,0.006999999999999999
187,1626252845.90314,-2.26157140731812,74.4877243041992,0.576333248113339,1.338,0.008
188,1626252848.49788,-2.8067169189453103,70.6292343139648,0.5773473616455711,1.686,0.009000000000000001
189,1626252851.08975,-3.35140323638916,66.2146072387695,0.578342617249545,2.279,0.01
190,1626252853.68766,-3.52833843231201,66.046142578125,0.579333475912001,2.404,0.011000000000000001
191,1626252854.69486,-3.2123355865478502,66.19229125976561,0.57937197988501,2.4130000000000003,0.012
192,1626252857.29783,-1.2536398172378502,66.5717620849609,0.578412714522329,1.656,0.001
193,1626252859.8966901,-0.167555391788483,71.0580139160156,0.5773791343863871,1.6980000000000002,0.002
194,1626252862.4875698,0.499569237232208,74.9064254760742,0.576404611700151,0.545,0.003
195,1626252865.08663,1.09274971485138,75.99647521972659,0.575413806176187,0.624,0.004
196,1626252867.6847,1.91804707050324,79.4258041381836,0.5743770796325821,-0.6779999999999999,0.005
197,1626252870.27971,2.7614898681640603,81.8393859863281,0.573405070061535,-0.789,0.006
198,1626252872.87145,3.9540054798126203,84.39073181152341,0.572410443449555,-2.551,0.006999999999999999
199,1626252875.4704099,5.146023273468019,85.4812316894531,0.5713982220666739,-2.907,0.008
200,1626252878.06635,6.75960826873779,86.6438751220703,0.5703847434644229,-4.918,0.009000000000000001
201,1626252880.6561801,8.90916156768799,88.33563232421879,0.569410848633937,-6.335,0.01
202,1626252883.2585,11.525885581970199,89.8493499755859,0.568399254379875,-9.14,0.011000000000000001
203,1626252884.26525,11.107837677002001,89.5288238525391,0.5683689173265439,-8.532,0.012
204,1626252886.86521,6.2878623008728,88.0656051635742,0.569343259673139,-5.954,0.001
205,1626252889.46117,3.41373348236084,87.0643157958984,0.570357358569055,-3.7110000000000003,0.002
206,1626252892.05935,1.80313444137573,85.4853057861328,0.57134884385523,-2.3280000000000003,0.003
207,1626252894.64943,0.614258646965027,83.9387664794922,0.572344728638641,-1.158,0.004
208,1626252897.24396,-0.50206995010376,82.29600524902341,0.5733594618109781,-0.179,0.005
209,1626252899.84395,-1.28716599941254,81.0720520019531,0.5743496909158641,0.397,0.006
210,1626252902.4386,-1.91213631629944,78.2842102050781,0.575343722193826,0.998,0.006999999999999999
211,1626252905.0303302,-2.26591038703918,74.5636367797852,0.5763590834284499,1.334,0.008
212,1626252907.62316,-2.78946280479431,70.1969757080078,0.5773562239228001,1.8430000000000002,0.009000000000000001
213,1626252910.2149699,-3.2865309715271,66.4201202392578,0.578330123762688,2.202,0.01
214,1626252912.80584,-3.5284655094146697,66.18837738037111,0.5793461146485961,2.455,0.011000000000000001
215,1626252913.81576,-3.2501425743102996,65.80764007568361,0.5793720536075141,2.423,0.012
216,1626252916.41081,-1.2509982585906998,66.56771850585939,0.5783964536030191,2.131,0.001
217,1626252919.01371,-0.103866279125214,70.9276123046875,0.5774074764525511,1.787,0.002
218,1626252921.60354,0.5513160824775699,74.6707458496094,0.576412218983741,1.171,0.003
219,1626252924.2009199,1.04624450206757,76.6064147949219,0.5753780063896371,0.555,0.004
220,1626252926.79755,1.87816536426544,79.459602355957,0.574406623983946,-0.023,0.005
221,1626252929.38864,2.8026487827301003,81.6837158203125,0.5734126231629859,-0.883,0.006
222,1626252931.9860802,3.87942099571228,84.212646484375,0.5723985265102081,-1.876,0.006999999999999999
223,1626252934.58163,5.09415864944458,85.5182647705078,0.5714057823553821,-2.8539999999999996,0.008
224,1626252937.17836,6.631066799163821,86.79737091064449,0.570391675321647,-4.561,0.009000000000000001
225,1626252939.77493,8.97454929351807,88.33411407470699,0.569398929971331,-6.1770000000000005,0.01
226,1626252942.3694801,11.449588775634801,90.01217651367192,0.568403672582453,-8.918,0.011000000000000001
227,1626252943.37725,11.0833559036255,90.23825073242192,0.568368937969271,-8.746,0.012
228,1626252945.97229,6.3482966423034695,87.9810028076172,0.569339512845533,-6.138999999999999,0.001
229,1626252948.56721,3.50877952575684,87.0132904052734,0.5703554976553941,-3.745,0.002
230,1626252951.1621401,1.8155322074890101,85.4146270751953,0.5713488678737839,-2.189,0.003
231,1626252953.7573302,0.523623883724213,84.079948425293,0.57234161994068,-1.033,0.004
232,1626252956.35558,-0.49733692407608004,82.2497940063477,0.5733557249876551,-0.353,0.005
233,1626252958.95174,-1.19294047355652,80.8153076171875,0.5743497239886239,0.395,0.006
